MasterID,Mesor_hat,AmplitudeHat,Peak,Nadir,PeakTime,NadirTime,Phase,Morning,Afternoon,Evening,Night,MorningPeak,AfternoonPeak,EveningPeak,NightPeak,BimodalAfternoon,BimodalEvening
71,5.002004660522835,-3.2458579218868047,12.076,0.4,7.333333333333333,3.6666666666666665,20.333333333333336,4.543,6.3875,4.456,0.758,12.076,9.321,5.388,2.647,True,False
73,5.1594273750479145,-3.1227496132039185,19.236,0.163,7.666666666666667,10.666666666666666,2.999999999999999,7.172,4.178,1.45,0.611,19.236,4.596,2.859,5.796,True,True
75,3.3209974411108503,-2.2469903568086327,11.878,0.417,7.666666666666667,2.0,18.333333333333332,4.701,2.822,1.236,0.785,11.878,3.32,2.204,6.316,True,True
115,1.944525410821046,-1.1557383859177706,5.049,0.276,6.0,22.333333333333332,16.333333333333332,3.311,1.276,0.439,0.44,5.049,1.519,0.899,1.136,True,True
125,0.9665846170233177,-1.56513538420266,7.581,0.265,9.0,5.0,20.0,3.779,2.54,2.139,0.617,7.581,3.655,3.609,3.669,True,True
127,6.031719612172265,-3.403474760804508,17.436,1.033,7.333333333333333,3.3333333333333335,20.0,8.401,4.211,2.345,2.387,17.436,11.921,3.337,3.481,True,True
129,3.378320386416786,-2.981292241163509,9.427,0.502,8.333333333333334,2.6666666666666665,18.333333333333336,6.293,3.916,2.093,0.818,9.427,5.728,4.384,1.435,True,True
135,4.4729165827966035,-2.9787998445337323,8.416,0.895,8.333333333333334,3.0,18.666666666666664,7.257,5.127,3.119,1.3,8.416,6.404,3.723,2.303,True,True
137,4.169538992283357,-1.7794692371434568,12.15,0.56,6.0,1.3333333333333333,19.333333333333332,5.81,2.44,1.91,0.99,12.15,3.84,2.97,4.1,True,True
139,2.749023044300191,-2.0270024340294164,8.417,0.351,9.666666666666666,3.0,17.333333333333336,4.339,3.931,2.995,0.681,8.417,4.68,4.052,3.129,True,True
141,4.155282825096565,-2.4429931350781535,12.17,0.259,8.0,2.3333333333333335,18.333333333333332,6.587,2.755,1.744,0.431,12.17,4.076,2.462,2.623,True,True
143,1.2434215614664041,-0.8230943795839822,3.38,0.13,7.0,0.6666666666666666,17.666666666666668,1.7,1.17,0.34,0.24,3.38,1.61,0.5,1.48,True,True
145,5.611315557650896,-2.937646806259863,14.329,0.655,7.0,2.3333333333333335,19.333333333333332,10.184,4.376,1.664,1.286,14.329,6.418,2.255,3.318,True,True
155,3.6822398109341976,-2.9705405518794845,11.271,1.138,9.333333333333334,0.6666666666666666,15.333333333333334,8.224,3.58,2.949,1.378,11.271,4.822,4.049,1.61,True,True
157,3.892312303912684,2.3553676451992964,14.546,0.527,5.333333333333333,2.0,20.666666666666668,4.087,1.505,1.488,0.763,14.546,1.906,2.175,7.919,True,True
159,4.107678539851833,-4.399510957647464,15.809,0.287,8.333333333333334,0.6666666666666666,16.333333333333336,9.174,2.745,1.455,0.639,15.809,3.38,2.819,6.947,True,True
169,4.155413136679302,3.5528865488100196,14.072,0.765,7.666666666666667,20.666666666666668,13.0,8.125,1.98,1.309,1.317,14.072,2.335,2.669,5.953,True,True
171,5.830462115795986,-3.8767219154842527,17.581,0.634,8.666666666666666,4.0,19.333333333333336,9.346,4.248,2.55,1.359,17.581,6.467,3.707,2.223,True,True
173,3.437773019247563,-2.2452263300157576,10.076,0.355,13.0,6.666666666666667,17.666666666666668,4.187,3.687,2.719,1.248,6.873,10.076,4.98,2.835,True,True
181,2.308601321335186,1.2261276261495244,9.593,0.251,6.0,2.0,20.0,2.491,1.155,0.821,0.564,9.593,1.693,1.481,3.205,True,True
183,4.535764592560296,4.5324824185958095,15.15,0.379,6.333333333333333,0.3333333333333333,18.0,9.633,2.677,1.162,1.056,15.15,4.453,1.595,6.18,True,True
185,2.9458940857915383,1.9413507107903851,10.141,0.698,5.666666666666667,19.0,13.333333333333332,3.525,2.046,0.954,1.429,10.141,2.806,1.229,6.233,True,True
191,4.3537210144742025,-2.9896518691602045,10.838,0.734,5.333333333333333,2.3333333333333335,21.0,6.988,4.505,2.205,0.984,10.838,5.258,3.835,10.086,True,True
193,3.8502908389968913,-1.0620555681537431,8.432,2.681,17.666666666666668,15.0,21.333333333333332,5.304,4.828,5.564,3.422,7.995,6.077,8.432,4.624,False,True
203,3.0672997554435084,-3.255881989038422,13.883,0.625,9.0,3.6666666666666665,18.666666666666668,7.166,2.778,1.967,1.114,13.883,4.34,3.468,2.334,True,True
211,3.777987888176838,-2.7005868003362448,12.624,0.778,12.666666666666666,22.0,9.333333333333334,6.292,2.52,1.974,1.056,8.948,12.624,3.5,2.448,True,True
225,5.442027740886781,-3.2176414545861385,15.901,0.44,7.0,0.3333333333333333,17.333333333333332,7.199,4.95,1.449,0.653,15.901,6.639,3.984,3.737,True,True
227,9.21700907167807,-4.334904878530364,32.474,1.626,6.333333333333333,2.0,19.666666666666668,11.007,3.681,4.416,2.08,32.474,5.391,7.967,5.621,True,True
229,2.590636536012638,-1.8616550807620942,8.654,0.293,8.333333333333334,4.666666666666667,20.333333333333336,2.512,4.746,2.023,0.848,8.654,5.646,3.18,2.972,True,True
231,2.453501708751685,3.119132536001646,13.765,0.549,8.0,0.6666666666666666,16.666666666666668,5.011,2.172,1.83,1.09,13.765,2.695,2.618,5.545,True,True
235,4.85535291455256,-3.8151450767109276,17.121,0.892,8.0,1.3333333333333333,17.333333333333332,8.921,3.495,1.495,1.266,17.121,4.527,3.564,3.04,True,True
237,4.147643776242366,-2.8780975374054725,9.419,0.698,11.0,23.666666666666668,12.666666666666668,6.834,3.921,2.218,1.351,9.419,7.461,3.215,1.978,True,True
239,5.25517894572728,-4.1872817012460155,15.198,1.332,8.333333333333334,1.6666666666666665,17.333333333333336,9.076,6.029,2.708,1.764,15.198,7.362,4.359,3.344,True,True
241,4.798600719370114,-4.5669496953386695,15.454,0.58,8.0,2.6666666666666665,18.666666666666668,9.761,4.499,2.212,0.8,15.454,6.125,4.331,5.408,True,True
