id,textContent,xrefIdentifier,comments,strokeStyle,backpageHead
a1493,NADPH,CHEBI:57783,,,
a9453,Dihydrotestosterone,CHEBI:16330,,,
aa516,Testosterone,CHEBI:17347,,,
ac07c,Oestradiol,CHEBI:16469,,,
b572b,"11b, 21-Dihydroxy-3,20-
5b-Pregnan-18-al",44263338,,,
b5b07,Cholesterol,CHEBI:16113,,double,
b6cb0,17-hydroxyprogesterone,CHEBI:17252,,double,
b8f6e,Cortisone,CHEBI:16962,,double,
ba400,Cortolone,516-42-7,,,
bb620,Progesterone,CHEBI:17026,,double,
c7413,Corticosterone,CHEBI:16827,,double,
c798c,11-Deoxycortisol,CHEBI:28324,,double,
cda05,DHEA,CHEBI:28689,,,
ce91d,Cortisol,Q190875,,double,
d1a53,NADP+,CHEBI:58349,,,
d75a6,3a-OH-5b-Pregnane-20-one,24779614,,,
d9040,Androstenedione,CHEBI:16422,,,
d9a28,(11)-Deoxycorticosterone,CHEBI:16973,,double,
e5801,"11b,17a 21-Trihydroxy-5b
Pregnane 3,20-dione",1482-50-4,"[{'content': 'AKA 11-BETA,17-ALPHA,21-TRIHYDROXY-5-BETA-PREGNANE-3,20-DIONE'}]",,
e5c3a,Cortisol,Q190875,,,
e7796,Pregnanediol,80-92-2,,,
ed90c,18-hydroxycorticosterone,CHEBI:16485,,double,
f024f,"17a,21-Dihydroxy-5b-17a,21-Dihydroxy
-5b-Pregnane-3,11,20-trione",65554,"[{'content': 'aka 4,5beta-Dihydrocortisone'}]",,
f1f07,"5b-Pregnane-3,20-dione",92745,,,
f2829,Urocortisol,5864,[{'content': 'AKA Tetrahydrocortisol'}],,
f3a66,Urocortisone,5754,,,
f650a,Aldosterone,CHEBI:27584,,double,
f980f,17-hydroxypregnenolone,CHEBI:28750,,double,
fbb24,"3a,11b,21-Trihydroxy-20-
Oxo-5b-Pregnan-18-al",44263346,,,
fe097,Glucuronides,CHEBI:26763,,,
ff573,Pregnenolone,CHEBI:16581,,double,
