id,textContent,xrefIdentifier,comments,HormoneId
a0694,11-Ketoetiocholanolone,LMST02020123,,a0694
a0b91,Tetrahydrocortisol,LMST02030143,,7f966adf-7c0c-4ac5-ad21-5285f12613b1
a3f64,beta-cortolonic acid,LMST02030301,,a3f64
b0584,alpha-Cortol,LMST02030228,,b0584
b521c,18-oxo-tetrahydrocortisol,LMST02030298,,b521c
b6cee,"4-Pregnene-17alpha,20alpha-diol-3,11-dione",LMST02030294,,b6cee
ba0af,beta-cortolone,LMST02030230,,ba0af
bd683,"17alpha-hydroxy-5beta-Pregnane-3,11,20-trione",LMST02030291,,bd683
bd95d,Cortisol,LMST02030001,,7fca6ef2-8836-409b-a958-5287134aee49
c0638,"11beta-Hydroxy
etiocholanolone",LMST02020086,,c0638
c152d,"5beta-pregnane-11beta,17alpha,
20alpha,21-tetrol-3-one",LMST02030273,,c152d
c22f5,11-deoxycortisol,LMST02030086,,7fa16bfd-eb60-4e59-884c-a8fb91a24e29
c2c50,5alpha-Tetrahydrocortisol,LMST02030200,,c2c50
c61c9,"5beta-pregnane-11beta,17alpha,20beta,21-tetrol-3-one",LMST02030274,,c61c9
c81c5,21-deoxycortisol,LMST02030195,,d5cf84fb-a3ec-4b1b-82fe-c6efa428514b
cd15f,5alpha-Dihydrocortisol,LMST02030272,,cd15f
d060e,21-Deoxycortisone,LMST02030289,,d060e
d1540,"5beta-Pregnane-3alpha,17alpha-diol-11,20-dione",LMST02030292,,d1540
d1fa0,Cortolic acid,LMST02030302,,d1fa0
d460a,17alpha-Hydroxyprogesterone,LMST02030161,,5544c99e-eaa7-4c01-aae5-f4489688c0ad
dbcbb,"5beta-pregnane-17alpha,20alpha,21-triol-3,11-dione",LMST02030267,,dbcbb
e06ef,Pregnanetriolone,LMST02030290,,e06ef
e13ee,Cortolonic acid,LMST02030300,,e13ee
e211c,5beta-dihydrocortisol,LMST02030204,,e211c
e475b,"4,5beta-Dihydrocortisone",LMST02030095,,e475b
e5bb3,"5beta-pregnane-17alpha,20beta,21-triol-3,11-dione",LMST02030268,,e5bb3
e5e94,"5beta-Pregnane-17alpha,20alpha-diol-3,11-dione",LMST02030293,,e5e94
e6e40,Cortisone,LMST02030090,,5108b288-a0bc-4e12-bc22-870a8ef9789d
e84e0,20beta-hydroxycortisol,LMST02030270,,e84e0
e9c21,20beta-Dihydrocortisone,LMST02030266,,e9c21
e9da3,20alpha-Dihydrocortisone,LMST02030265,,e9da3
ea7eb,18-oxo-dihydrocortisol,LMST02030297,,ea7eb
eb2c2,Tetrahydrocortisone,LMST02030098,,77bd117a-5d7c-4851-b3a3-ba35b93d3741
f3c8f,beta-cortolic acid,LMST02030303,,f3c8f
f42d9,alpha-cortolone,LMST02030227,,f42d9
f72d3,18-hydroxycortisol,LMST02030295,,0e5ee681-f1f8-432b-9b7f-3c8a9bf37ccc
fb94d,18-oxo-cortisol,LMST02030296,,331f9407-881d-4235-b880-48edf6c4d1a3
fce99,6beta-hydroxycortisol,LMST02030269,,fce99
fec3a,20alpha-Hydroxycortisol,LMST02030271,,fec3a
ff253,beta-cortol,LMST02030229,,ff253
